Sl.No,Mol_Smiles,Mol_Code,Pol_DFT,Den_MD,pol_den_product/1000,RI_LL,Pol_geom,nBB,MW_pybel,RI_geom
1475538,C1CSC(C(S1)c1ccc2c(c1)cccc2)c1ccncc1c1nsnc1,F6-F11-F13-F16,283.3745,1279.87,362.682521315,1.5794,293.6189,4,407.57478,1.60531499471
144866,Cc1ncccc1c1cccc(n1)c1ncsc1,F1-F11-F11-F14,184.5116,1214.84,224.152072144,1.5754,189.6613,4,253.32224,1.5952121207
842736,c1ncc(c(c1)C1NCN(CN1)c1cncs1)c1cscn1,F9-F11-F14-F14,209.2638,1358.93,284.374855734,1.5563,218.337,4,330.43116,1.58588062984
1007571,n1ccc(cc1)c1nccc(c1)c1coc(c1)c1ccc2c(c1)cccc2,F11-F11-F15-F16,306.2339,1208.49,370.080605811,1.7247,315.2833,4,348.39664,1.75311344946
132186,Cc1coc(c1)C1NCN(CN1)c1scnn1,F1-F15-F9-F8,148.4785,1322.52,196.36578582,1.4957,155.0694,4,251.30812,1.52192999891
546298,c1ccc(cn1)c1sc(c(n1)c1ccco1)c1ccsc1,F7-F14-F11-F15,234.7173,1313.92,308.399754816,1.6648,243.7478,4,310.3934,1.69783252149
1312678,n1snc(c1)c1nc(ccc1c1cccc2c1cccc2)c1cccs1,F11-F16-F13-F7,288.6626,1272.07,367.199033582,1.6605,294.8472,4,371.47802,1.67861502074
1464124,C1CSC(CS1)c1ccc2c(c1)ccc(c2)c1ccncc1c1cccs1,F11-F16-F7-F6,309.1935,1227.61,379.569032535,1.6166,321.6982,4,405.59866,1.64799861129
1434113,C1CSC(CS1)c1cc(sc1c1cocc1)c1ccc2c(c1)cccc2,F6-F7-F15-F16,306.117,1268.79,388.39818843,1.657,323.4853,4,394.57272,1.70519777961
581151,SC1CCCC1c1ccc2c(c1)cccc2c1nncs1,F8-F16-F10-F2,228.9394,1220.55,279.43198467,1.583,240.669,4,312.45234,1.62012300714
1311478,n1ccc(cc1)c1csc(n1)c1cnc(s1)c1ccc2c(c1)cccc2,F14-F16-F14-F11,330.2096,1295.27,427.710588592,1.8071,346.6944,4,371.47802,1.86329243912
658260,c1ccc(cc1)c1cncc(c1c1cnccn1)c1nncs1,F8-F11-F12-F5,216.1559,1253.17,270.880089203,1.5508,228.2264,4,317.36774,1.58848618295
318259,c1coc(c1)c1occ(c1)C1CCC(C1)c1nccs1,F10-F15-F14-F15,200.7529,1215.49,244.013142421,1.552,203.9497,4,285.3608,1.56270288438
1434353,C1CSC(CS1)c1ccc2c(c1)cc(cc2)c1ccoc1c1cccs1,F15-F16-F7-F6,291.1019,1252.6,364.63423994,1.607,305.6467,4,394.57272,1.64516608611
1348893,c1ccc(nc1)c1nnc(s1)c1ccc2c(c1)cc(cc2)c1nsnc1,F8-F16-F11-F13,316.9097,1359.74,430.914795478,1.8095,329.0003,4,373.45414,1.85236286681
964040,C1CCC(C1)c1scc(n1)c1ccc(o1)c1ccc2c(c1)cccc2,F14-F15-F10-F16,300.5405,1176.02,353.44163881,1.6903,306.2416,4,345.45736,1.70723967972
827493,c1csc(c1)N1CNC(NC1)c1ccc(cn1)c1scnc1,F9-F11-F7-F14,222.007,1343.49,298.26418443,1.5918,231.1936,4,329.4431,1.6223314362
839342,S1CC(SC(C1)C1CCCC1)c1cocc1c1ccccc1,F5-F15-F6-F10,229.9925,1143.8,263.0654215,1.5067,237.4218,4,330.50738,1.52620293419
